Group_Name,Group_ID,Group_Path,Static_VM_Member,Static_IP_Member,Static_MAC_Member,Group_Segment_Port,Condition_Member_OR,Condition_Member_AND
Edge_NSGroup,a8b7ddce-a5d6-11e8-a7e5-43344e310957,/infra/domains/default/groups/a8b7ddce-a5d6-11e8-a7e5-43344e310957,,,,,"'VirtualMachine,Tag,EQUALS,Edge_NSGroup'",
ServiceInsertion_NSGroup,03335585-9574-4d44-a001-818ca9a9c282,/infra/domains/default/groups/03335585-9574-4d44-a001-818ca9a9c282,,,,,,
interconnect-appliances,interconnect-appliances,/infra/domains/default/groups/interconnect-appliances,,,,,"'VirtualMachine,Tag,EQUALS,hybridity|interconnect-appliances'",
policy01,94818ba0-acb7-bb95-46cc-dcfdf6be5465,/infra/domains/default/groups/94818ba0-acb7-bb95-46cc-dcfdf6be5465,,"'10.110.164.229', '10.105.131.12'",,,,
rule01,0dfee12a-4260-e244-2df1-03cc98d2d859,/infra/domains/default/groups/0dfee12a-4260-e244-2df1-03cc98d2d859,,,,,,
test,680a591c-2bb7-2806-0336-decf7e893b63,/infra/domains/default/groups/680a591c-2bb7-2806-0336-decf7e893b63,,"'10.105.131.99', '169.254.10.110', '10.105.131.98'",,,,"'VirtualMachine,Name,CONTAINS,test', 'VirtualMachine,OSName,CONTAINS,db', 'VirtualMachine,ComputerName,NOTEQUALS,sql'"
cctest,ac397520-ad0e-d4ac-7a91-69c081ea7dc2,/infra/domains/default/groups/ac397520-ad0e-d4ac-7a91-69c081ea7dc2,"'', ''",'10.105.131.99',,,,
policy003,d26b708e-0d0d-96ab-ddaf-74f71c4e9d20,/infra/domains/default/groups/d26b708e-0d0d-96ab-ddaf-74f71c4e9d20,,'10.110.165.94',,,,
rule003,0b70a4dc-2ff8-22d7-a39d-f6f849136545,/infra/domains/default/groups/0b70a4dc-2ff8-22d7-a39d-f6f849136545,,'10.105.131.99',,,,
VDC-Group-Lab,a255e7fd-0169-4d28-9526-a8da4fa65ff1,/infra/domains/default/groups/a255e7fd-0169-4d28-9526-a8da4fa65ff1,,,,,"'Segment,Tag,EQUALS,SYSTEM|urn:vcloud:vdcGroup:a255e7fd-0169-4d28-9526-a8da4fa65ff1'",
labnsx,8cd481d4-20d0-4509-8d23-3786ad66960b,/infra/domains/default/groups/8cd481d4-20d0-4509-8d23-3786ad66960b,"'', ''",'1.1.1.0/24','EF:00:88:99:22:77','cctest',,"'VirtualMachine,Name,CONTAINS,db', 'VirtualMachine,OSName,CONTAINS,redhat'"
vdc01-snat-ip-pool-csp1,8edf5aa1-5dfd-4788-b4cf-02fe9fc55871,/infra/domains/default/groups/8edf5aa1-5dfd-4788-b4cf-02fe9fc55871,,'10.105.140.148',,,,
vdc01-public-ip-pool,3e62b929-0ae9-453d-89c7-1f16c8e9ab7c,/infra/domains/default/groups/3e62b929-0ae9-453d-89c7-1f16c8e9ab7c,,'192.168.254.2',,,,
vdc01-yunzhuanxian-csp2,ef50b338-e090-42e6-8767-14299d1cb75b,/infra/domains/default/groups/ef50b338-e090-42e6-8767-14299d1cb75b,,'10.105.131.0/24',,,,
org01-vdcgroup01,a7ae249e-c093-4ee3-a337-2beafd9848d4,/infra/domains/default/groups/a7ae249e-c093-4ee3-a337-2beafd9848d4,,,,,"'Segment,Tag,EQUALS,SYSTEM|urn:vcloud:vdcGroup:a7ae249e-c093-4ee3-a337-2beafd9848d4'",
vcd01-ip-to-sharedpool,61a1977c-6596-4898-9d52-6b3c6e5b6776,/infra/domains/default/groups/61a1977c-6596-4898-9d52-6b3c6e5b6776,,'10.105.140.148',,,,
vcd01-yunzhuanxian-peer-subnet,c5e2d714-d735-4eb4-899b-2c66908859a6,/infra/domains/default/groups/c5e2d714-d735-4eb4-899b-2c66908859a6,,'192.168.47.0/24',,,,
VPN_SYSTEM_L_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976:192.168.66.1,VPN_SYSTEM_L_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976:192.168.66.1,/infra/domains/default/groups/VPN_SYSTEM_L_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976:192.168.66.1,,'192.168.66.1',,,,
VPN_SYSTEM_P_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.5a1f6b0c-ac2d-45a0-a82a-750967f779fd,VPN_SYSTEM_P_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.5a1f6b0c-ac2d-45a0-a82a-750967f779fd,/infra/domains/default/groups/VPN_SYSTEM_P_GP_Tier1-6a9ae92d-ab66-4aa5-9891-443f2b23b976.6a9ae92d-ab66-4aa5-9891-443f2b23b976.5a1f6b0c-ac2d-45a0-a82a-750967f779fd,,'172.16.24.101',,,,
test01-net31,9b7a1b63-9cd8-4b7f-b757-22c06f160b72,/infra/domains/default/groups/9b7a1b63-9cd8-4b7f-b757-22c06f160b72,,,,'/infra/segments/5b88427a-3f89-4f60-ac6c-53300feadc56',,
test-vms,8b5bff72-d047-4871-87ed-31cbd6d6a5f8,/infra/domains/default/groups/8b5bff72-d047-4871-87ed-31cbd6d6a5f8,,,,,,"'VirtualMachine,Name,CONTAINS,test', 'VirtualMachine,Tag,EQUALS,urn:vcloud:vdcGroup:a7ae249e-c093-4ee3-a337-2beafd9848d4'"
testvm01,5aaea0a9-63dd-4e74-9735-bb7dfe204984,/infra/domains/default/groups/5aaea0a9-63dd-4e74-9735-bb7dfe204984,,'192.168.31.2/24',,,,
testvm02,028f7545-f285-4ec3-baee-db1db0874ad3,/infra/domains/default/groups/028f7545-f285-4ec3-baee-db1db0874ad3,,'192.168.31.3/24',,,,
labavi-ServiceEngineMgmtIPs,labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ServiceEngineMgmtIPs,/infra/domains/default/groups/labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ServiceEngineMgmtIPs,,,,,,
labavi-ServiceEngines,labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ServiceEngines,/infra/domains/default/groups/labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ServiceEngines,,,,,,
labavi-ControllerCluster,labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ControllerCluster,/infra/domains/default/groups/labavi-cluster-d81335bf-d5d0-475f-ac1f-0f12771918f0-ControllerCluster,,'10.105.131.165',,,,
vcd01-edge02-publicip,af659d63-2324-491c-b18c-712b69d89b5a,/infra/domains/default/groups/af659d63-2324-491c-b18c-712b69d89b5a,,'192.168.66.4',,,,
SystemVM_NSGroup,7e8d14d0-ae7a-4bf2-b3e2-74a8c2d92347,/infra/domains/default/groups/7e8d14d0-ae7a-4bf2-b3e2-74a8c2d92347,,,,,,
rds_auth_group,rds_auth_group,/infra/domains/default/groups/rds_auth_group,,,,,,
vmware_nsx_default_group,9539e1e7-26b3-2ca7-b11b-694c0739c7a7,/infra/domains/default/groups/9539e1e7-26b3-2ca7-b11b-694c0739c7a7,,,,,,
VDCGROUP-GZCM00003-GY4,2e71e972-ee9f-4846-a980-50342424fa5f,/infra/domains/default/groups/2e71e972-ee9f-4846-a980-50342424fa5f,,,,,"'Segment,Tag,EQUALS,SYSTEM|urn:vcloud:vdcGroup:2e71e972-ee9f-4846-a980-50342424fa5f'",
ipset1,260e1ead-ad12-4a71-91df-e058e99287b9,/infra/domains/default/groups/260e1ead-ad12-4a71-91df-e058e99287b9,,"'192.168.0.10', '192.168.0.20-192.168.0.23'",,,,
ipset2-1675390557408,f077df2d-d8c4-42df-aa1b-2fc96b2e6ac9,/infra/domains/default/groups/f077df2d-d8c4-42df-aa1b-2fc96b2e6ac9,,"'192.168.0.4', '192.168.0.5'",,,,
ipset2-1675390845082,0ddf3d49-29ac-4d60-a1c5-a1a23f791c6b,/infra/domains/default/groups/0ddf3d49-29ac-4d60-a1c5-a1a23f791c6b,,"'192.168.0.4', '192.168.0.5'",,,,
VPN_SYSTEM_L_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc:192.168.66.7,VPN_SYSTEM_L_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc:192.168.66.7,/infra/domains/default/groups/VPN_SYSTEM_L_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc:192.168.66.7,,'192.168.66.7',,,,
VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.575064ff-a0f2-4a19-9723-ef2d5df65eb3,VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.575064ff-a0f2-4a19-9723-ef2d5df65eb3,/infra/domains/default/groups/VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.575064ff-a0f2-4a19-9723-ef2d5df65eb3,,'192.168.66.20',,,,
abcd-s--1676272040069,c2ef1e49-d8dd-4b4e-96a2-da03bce3d51c,/infra/domains/default/groups/c2ef1e49-d8dd-4b4e-96a2-da03bce3d51c,,"'192.168.0.101', '192.168.0.100'",,,,
abcd-d--1676272040954,c742326a-bd64-4223-a17f-efe89c99cdf3,/infra/domains/default/groups/c742326a-bd64-4223-a17f-efe89c99cdf3,,"'192.168.1.100', '192.168.1.101'",,,,
VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.42b4ae96-3a8d-47bc-b394-71b25ba12fe0,VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.42b4ae96-3a8d-47bc-b394-71b25ba12fe0,/infra/domains/default/groups/VPN_SYSTEM_P_GP_Tier1-9296b349-f314-4f06-b190-5f5a98583cfc.9296b349-f314-4f06-b190-5f5a98583cfc.42b4ae96-3a8d-47bc-b394-71b25ba12fe0,,'192.168.66.91',,,,
rest_api_test,rest_api_test,/infra/domains/default/groups/rest_api_test,,"'192.168.0.4', '192.168.0.5'",,,,
test-webserver,test-webserver,/infra/domains/default/groups/test-webserver,"'Web_Server', ''",,,,,
test-ubuntuweb01,test-ubuntuweb01,/infra/domains/default/groups/test-ubuntuweb01,'',,,,,
test-ipset-10.105.131.149,f474f911-7f4a-4c9d-9287-97b4cf4c07e4,/infra/domains/default/groups/f474f911-7f4a-4c9d-9287-97b4cf4c07e4,,'10.105.131.149',,,,
test-ipset-192.168.65.37or12,2cce5ab5-5907-470b-80f3-0c6f44e2ccba,/infra/domains/default/groups/2cce5ab5-5907-470b-80f3-0c6f44e2ccba,,"'192.168.65.37', '192.168.65.12'",,,,
nsx-segment-tag,rr,/infra/domains/default/groups/rr,,,,"'ipset1', 'cctest'","'Segment,Tag,EQUALS,Segments|Seg-Net-192-168', 'VirtualMachine,Name,STARTSWITH,test'",
VDCGROUP-GZCM00005-GY4,2cd5dff6-c475-447d-bdf9-5ca0eda389d0,/infra/domains/default/groups/2cd5dff6-c475-447d-bdf9-5ca0eda389d0,,,,,"'Segment,Tag,EQUALS,SYSTEM|urn:vcloud:vdcGroup:2cd5dff6-c475-447d-bdf9-5ca0eda389d0'",
iponly_group,iponly_group,/infra/domains/default/groups/iponly_group,,'1.1.1.1',,,,
powercli-test02,powercli-test02,/infra/domains/default/groups/powercli-test02,"'Web_Server', 'DVWA'",,,,,
powercli-test03,powercli-test03,/infra/domains/default/groups/powercli-test03,"'Web_Server', ''","'10.22.33.55', '10.10.1.1/24', '11.21.31.41-11.21.31.49'",,,,
web_group,web_group,/infra/domains/default/groups/web_group,"'', 'win11-temp'","'10.22.33.55', '10.10.1.1/24', '11.21.31.41-11.21.31.49'",,"'ipset1', 'cctest'",,
DefaultMaliciousIpGroup,9be75a65-f7ae-441f-8e97-1ee94103b74a,/infra/domains/default/groups/9be75a65-f7ae-441f-8e97-1ee94103b74a,,,,,"'IPAddress,ALL,EQUALS,MALICIOUS_IP'",
MetricsSystem_NSGroup,81422b9c-a416-4624-802b-a3132bd35f51,/infra/domains/default/groups/81422b9c-a416-4624-802b-a3132bd35f51,,,,,"'TransportNode,NodeType,EQUALS,HostNode', 'TransportNode,NodeType,EQUALS,EdgeNode'",
tanzu-group,tanzu-group,/infra/domains/default/groups/tanzu-group,'labharbor284(131.178)',,,,,
lab1-mgmt,lab1-mgmt,/infra/domains/default/groups/lab1-mgmt,"'labvcd(140.150)', 'labbackup(131.239)±¸·Ý', 'labsrm(131.161)', 'labvr(131.161)', 'labhcx-cloud(131.167)', 'lab1vc(131.130)', 'lab1avi(131.165)'",,,,,
tanzu-group-static,tanzu-group-static,/infra/domains/default/groups/tanzu-group-static,'labharbor284(131.178)',,,,,
rule1008-source_vm,rule1008-source_vm,/infra/domains/default/groups/rule1008-source_vm,'DVWA',,,,,
rule1008-dest_vm,rule1008-dest_vm,/infra/domains/default/groups/rule1008-dest_vm,'Web_Server',,,,,
ipset-test001,ipset-test001,/infra/domains/default/groups/ipset-test001,,"'192.168.200.0/24', '192.168.202.1-192.168.202.100', '192.168.201.201'",,,,
rule1008-source_ip,rule1008-source_ip,/infra/domains/default/groups/rule1008-source_ip,,"'192.168.200.0/24', '192.168.201.195', '192.168.201.192'",,,,
kms-s--1708934981688,9e34ffd1-24ae-4694-b76c-1adb14f3d8dd,/infra/domains/default/groups/9e34ffd1-24ae-4694-b76c-1adb14f3d8dd,,"'10.206.20.172', '10.204.13.240'",,,,
kms-s--1709001443527,54a0a656-7ce7-4d5c-b189-858661897537,/infra/domains/default/groups/54a0a656-7ce7-4d5c-b189-858661897537,,"'10.206.20.172', '10.204.13.240'",,,,
